word,meaning,week,article,pages
electrolyte,电解质,Week25,You probably don't need extra electrolytes,2-4
unwell,身体不适的；生病的,Week25,You probably don't need extra electrolytes,2-4
urine,尿液,Week25,You probably don't need extra electrolytes,2-4
down sth / down it anyway,一口喝下某物；尽管如此仍把它喝下,Week25,You probably don't need extra electrolytes,2-4
Gatorade,佳得乐（运动饮料品牌）,Week25,You probably don't need extra electrolytes,2-4
replenish,补充；重新装满,Week25,You probably don't need extra electrolytes,2-4
sweat / sweating,出汗；流汗,Week25,You probably don't need extra electrolytes,2-4
in the southern heat,在南方炎热的天气中,Week25,You probably don't need extra electrolytes,2-4
stamina,耐力；持久力,Week25,You probably don't need extra electrolytes,2-4
superior hydration,更好的补水效果,Week25,You probably don't need extra electrolytes,2-4
charged particle,带电粒子,Week25,You probably don't need extra electrolytes,2-4
potassium,钾,Week25,You probably don't need extra electrolytes,2-4
take pains to do sth,费心、努力做某事,Week25,You probably don't need extra electrolytes,2-4
rehydrate,补水；恢复身体水分,Week25,You probably don't need extra electrolytes,2-4
water alone,仅靠水；单独饮水,Week25,You probably don't need extra electrolytes,2-4
dilute,稀释；冲淡,Week25,You probably don't need extra electrolytes,2-4
gut,肠道；消化道,Week25,You probably don't need extra electrolytes,2-4
dehydrated,脱水的；缺水的,Week25,You probably don't need extra electrolytes,2-4
fluid retention,体液潴留；身体保水,Week25,You probably don't need extra electrolytes,2-4
bloating,腹胀；胀气,Week25,You probably don't need extra electrolytes,2-4
boon,有益之物；利好,Week25,You probably don't need extra electrolytes,2-4
endurance athlete,耐力型运动员,Week25,You probably don't need extra electrolytes,2-4
diarrhoea / diarrhea,腹泻,Week25,You probably don't need extra electrolytes,2-4
vomiting,呕吐,Week25,You probably don't need extra electrolytes,2-4
chemotherapy,化学治疗；化疗,Week25,You probably don't need extra electrolytes,2-4
build-up,积聚；堆积,Week25,You probably don't need extra electrolytes,2-4
flush sth out of the body,将某物从体内排出,Week25,You probably don't need extra electrolytes,2-4
legume,豆类植物；豆类食物,Week25,You probably don't need extra electrolytes,2-4
"there is no evidence, yet",目前尚无证据,Week25,You probably don't need extra electrolytes,2-4
sedentary,久坐不动的；缺乏运动的,Week25,You probably don't need extra electrolytes,2-4
sip / sipping,小口啜饮,Week25,You probably don't need extra electrolytes,2-4
one-size-fits-all solution,一刀切、适用于所有人的方案,Week25,You probably don't need extra electrolytes,2-4
concentration,浓度；含量,Week25,You probably don't need extra electrolytes,2-4
nausea,恶心；反胃,Week25,You probably don't need extra electrolytes,2-4
take claims with a pinch of salt,对某种说法持保留态度；不要全信,Week25,You probably don't need extra electrolytes,2-4
electrolyte-laden,富含电解质的；充满电解质的,Week25,You probably don't need extra electrolytes,2-4
Hoover Dam,胡佛大坝,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
take the hint,领会暗示；从中得到启示,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
prosperity,繁荣；兴旺,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
strained,紧张的；不堪重负的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
break ground,破土动工；开始建设,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
needless,不必要的；多余的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
duplicative,重复的；造成重复劳动的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
bureaucracy,官僚体制；繁文缛节,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
